t_sec,coins_per_sec,total_earned,total_gems_earned,total_rubies_earned,events
0,1.07,1.07,0,0,
10,1.07,11.73,0,0,
20,1.07,22.40,0,0,upgrade:robots->2
30,2.13,40.53,0,0,
40,2.13,61.87,0,0,upgrade:robots->3
50,3.20,92.80,0,0,upgrade:robots->4
60,4.27,128.00,0,0,
70,4.27,170.67,0,0,
80,4.27,213.33,0,0,
90,4.27,256.00,0,0,
100,4.27,298.67,0,0,
110,4.27,341.33,0,0,tool:Hedge Shears
120,8.53,401.07,0,0,upgrade:robots->5|upgrade:speed->1
130,11.73,498.13,0,0,upgrade:value->1
140,13.49,622.51,0,0,upgrade:robots->6|upgrade:speed->2
150,17.66,776.58,0,0,upgrade:value->2|upgrade:speed->3
160,21.63,970.37,0,0,upgrade:rate->1
170,24.34,1200.21,0,0,upgrade:value->3
180,27.14,1466.03,0,0,upgrade:value->4
190,29.95,1765.55,0,0,upgrade:value->5
200,32.76,2090.34,0,0,upgrade:value->6|upgrade:growth->1
210,36.36,2432.77,0,0,upgrade:speed->4|upgrade:speed->5|upgrade:growth->2
220,41.95,2827.05,0,0,upgrade:robots->7|upgrade:growth->3
230,48.37,3265.90,0,0,
240,48.37,3749.63,0,0,upgrade:value->7|garden:flower->1
250,52.91,4267.49,0,0,
260,52.91,4796.58,0,0,upgrade:value->8|garden:flower->2
270,57.55,5355.85,0,0,garden:flower->3|garden:rock->1
280,58.61,5939.74,0,0,garden:flower->4|garden:rock->2
290,59.68,6534.78,0,0,
300,59.68,7131.59,0,0,
310,59.68,7728.40,0,0,
320,59.68,8325.21,0,0,
330,59.68,8922.02,0,0,
340,59.68,9518.84,0,0,grass:clover|prestige-1
350,1.34,10050.69,2,0,
360,1.34,10064.13,2,0,upgrade:robots->2
370,2.69,10081.61,2,0,
380,2.69,10108.49,2,0,upgrade:robots->3
390,4.03,10147.46,2,0,upgrade:robots->4
400,5.38,10195.85,2,0,
410,5.38,10249.61,2,0,
420,5.38,10303.37,2,0,
430,5.38,10357.13,2,0,
440,5.38,10410.89,2,0,tool:Hedge Shears|upgrade:robots->5
450,13.44,10518.41,2,0,upgrade:speed->1|upgrade:value->1
460,17.00,10671.56,2,0,upgrade:robots->6|upgrade:speed->2
470,22.26,10872.79,2,0,upgrade:value->2|upgrade:speed->3
480,27.26,11134.07,2,0,upgrade:rate->1|upgrade:value->3
490,34.20,11458.39,2,0,upgrade:value->4
500,37.74,11828.71,2,0,upgrade:value->5
510,41.28,12237.95,2,0,upgrade:value->6|upgrade:growth->1|upgrade:speed->4|upgrade:speed->5
520,50.19,12695.44,2,0,upgrade:growth->2|upgrade:robots->7
530,55.57,13226.88,2,0,upgrade:growth->3
540,60.95,13831.00,2,0,upgrade:value->7|garden:flower->1
550,66.67,14489.22,2,0,upgrade:value->8
560,71.54,15165.63,2,0,garden:flower->2|garden:flower->3|garden:rock->1
570,73.85,15897.69,2,0,garden:flower->4|garden:rock->2
580,75.20,16645.48,2,0,
590,75.20,17397.47,2,0,
600,75.20,18149.45,2,0,
610,75.20,18901.43,2,0,
620,75.20,19653.41,2,0,grass:clover
630,91.49,20535.73,2,0,upgrade:value->9
640,97.73,21469.35,2,0,
650,97.73,22446.64,2,0,upgrade:value->10
660,103.97,23448.87,2,0,upgrade:growth->4|upgrade:rate->2|upgrade:growth->5|upgrade:robots->8
670,121.53,24580.97,2,0,upgrade:growth->6
680,130.31,25840.15,2,0,upgrade:growth->7|upgrade:rate->3
690,139.09,27191.03,2,0,upgrade:growth->8
700,147.87,28608.26,2,0,
710,147.87,30086.95,2,0,upgrade:value->11|garden:flower->5
720,157.92,31612.36,2,0,
730,157.92,33191.58,2,0,
740,157.92,34770.79,2,0,upgrade:value->12|garden:flower->6|garden:rock->3
750,168.94,36429.42,2,0,garden:tree->1|garden:rock->4|garden:flower->7
760,171.86,38133.76,2,0,garden:tree->2|garden:rock->5
770,173.53,39862.36,2,0,garden:flower->8|garden:flower->9|prestige-2|upgrade:robots->2|upgrade:robots->3|upgrade:robots->4
780,7.51,41270.14,6,0,
790,7.51,41345.23,6,0,tool:Hedge Shears
800,15.02,41457.87,6,0,upgrade:robots->5|upgrade:speed->1|upgrade:value->1
810,23.75,41673.02,6,0,upgrade:robots->6|upgrade:speed->2|upgrade:value->2|upgrade:speed->3
820,38.07,41986.47,6,0,upgrade:rate->1|upgrade:value->3
830,47.77,42415.34,6,0,upgrade:value->4|upgrade:value->5
840,57.66,42942.49,6,0,upgrade:value->6|upgrade:growth->1|upgrade:speed->4
850,68.91,43546.54,6,0,upgrade:speed->5|upgrade:growth->2|upgrade:robots->7|upgrade:growth->3
860,85.14,44291.47,6,0,upgrade:value->7|garden:flower->1
870,93.12,45164.25,6,0,upgrade:value->8
880,99.93,46102.26,6,0,garden:flower->2|garden:flower->3|garden:flower->4|garden:rock->1
890,104.52,47129.22,6,0,garden:rock->2
900,105.04,48178.56,6,0,
910,105.04,49228.95,6,0,
920,105.04,50279.34,6,0,grass:clover
930,127.80,51443.51,6,0,upgrade:value->9
940,136.51,52756.33,6,0,upgrade:value->10
950,145.22,54130.14,6,0,upgrade:growth->4|upgrade:rate->2|upgrade:growth->5|upgrade:robots->8
960,169.75,55702.12,6,0,upgrade:growth->6|upgrade:growth->7
970,187.92,57491.40,6,0,upgrade:rate->3|upgrade:growth->8
980,206.55,59446.49,6,0,
990,206.55,61511.96,6,0,upgrade:value->11|garden:flower->5
1000,220.59,63686.47,6,0,
1010,220.59,65892.36,6,0,upgrade:value->12|garden:flower->6|garden:rock->3|garden:tree->1|garden:rock->4
1020,238.30,68233.25,6,0,garden:flower->7|garden:tree->2|garden:rock->5
1030,242.40,70638.44,6,0,garden:flower->8|garden:flower->9
1040,245.93,73083.62,6,0,garden:rock->6|garden:tree->3|upgrade:robots->9
1050,248.30,75560.28,6,0,upgrade:growth->9
1060,262.31,78113.30,6,0,upgrade:growth->10
1070,276.32,80764.39,6,0,garden:flower->10|garden:rock->7
1080,279.44,83542.69,6,0,garden:tree->4|upgrade:rate->4
1090,280.62,86344.24,6,0,garden:rock->8|garden:flower->11
1100,283.76,89169.33,6,0,
1110,283.76,92006.98,6,0,
1120,283.76,94844.63,6,0,
1130,283.76,97682.27,6,0,
1140,283.76,100519.92,6,0,
1150,283.76,103357.57,6,0,
1160,283.76,106195.22,6,0,grass:thick
1170,343.33,109628.47,6,0,upgrade:growth->11
1180,360.66,113148.41,6,0,
1190,360.66,116755.02,6,0,upgrade:value->13
1200,379.98,120554.84,6,0,
1210,379.98,124354.66,6,0,garden:fountain->1
1220,410.38,128276.08,6,0,
1230,410.38,132379.89,6,0,upgrade:value->14
1240,431.25,136588.03,6,0,
1250,431.25,140900.51,6,0,upgrade:growth->12|upgrade:robots->10
1260,451.98,145396.35,6,0,
1270,451.98,149916.11,6,0,prestige-3|upgrade:robots->2|upgrade:robots->3|upgrade:robots->4|tool:Hedge Shears|upgrade:robots->5|upgrade:speed->1|upgrade:value->1|upgrade:robots->6|upgrade:speed->2|upgrade:value->2|upgrade:speed->3
1280,59.70,151602.12,14,0,upgrade:rate->1|upgrade:value->3|upgrade:value->4
1290,84.50,152375.86,14,0,upgrade:value->5|upgrade:value->6|garden:flower->1
1300,102.18,153347.08,14,0,upgrade:value->7|garden:flower->2
1310,112.23,154435.30,14,0,upgrade:value->8|upgrade:speed->4|upgrade:growth->1|upgrade:speed->5|upgrade:growth->2|upgrade:robots->7
