t_sec,coins_per_sec,total_earned,total_gems_earned,total_rubies_earned,events
0,1.07,1.07,0,0,
10,1.07,11.73,0,0,
20,1.07,22.40,0,0,upgrade:robots->2
30,2.13,40.53,0,0,
40,2.13,61.87,0,0,upgrade:robots->3
50,3.20,92.80,0,0,upgrade:robots->4
60,4.27,128.00,0,0,
70,4.27,170.67,0,0,
80,4.27,213.33,0,0,
90,4.27,256.00,0,0,
100,4.27,298.67,0,0,
110,4.27,341.33,0,0,tool:Hedge Shears
120,8.53,401.07,0,0,upgrade:robots->5|upgrade:speed->1
130,11.73,498.13,0,0,upgrade:value->1
140,13.49,622.51,0,0,upgrade:robots->6|upgrade:speed->2
150,17.66,776.58,0,0,upgrade:value->2|upgrade:speed->3
160,21.63,970.37,0,0,upgrade:rate->1
170,24.34,1200.21,0,0,upgrade:value->3
180,27.14,1466.03,0,0,upgrade:value->4
190,29.95,1765.55,0,0,upgrade:value->5
200,32.76,2090.34,0,0,upgrade:value->6|upgrade:growth->1
210,36.36,2432.77,0,0,upgrade:speed->4|upgrade:speed->5|upgrade:growth->2
220,41.95,2827.05,0,0,upgrade:robots->7|upgrade:growth->3
230,48.37,3265.90,0,0,
240,48.37,3749.63,0,0,upgrade:value->7|garden:flower->1
250,52.91,4267.49,0,0,
260,52.91,4796.58,0,0,upgrade:value->8|garden:flower->2
270,57.55,5355.85,0,0,garden:flower->3|garden:rock->1
280,58.45,5938.94,0,0,garden:flower->4|garden:rock->2
290,59.36,6531.73,0,0,
300,59.36,7125.32,2,0,prestige-1
310,1.78,7143.16,2,0,upgrade:robots->2
320,3.57,7169.93,2,0,upgrade:robots->3
330,5.35,7214.55,2,0,upgrade:robots->4
340,7.14,7277.01,2,0,
350,7.14,7348.40,2,0,
360,7.14,7419.79,2,0,
370,7.14,7491.18,2,0,tool:Hedge Shears|upgrade:robots->5|upgrade:speed->1
380,19.63,7651.80,2,0,upgrade:robots->6|upgrade:value->1|upgrade:speed->2
390,29.27,7883.93,2,0,upgrade:speed->3|upgrade:value->2
400,35.57,8211.60,2,0,upgrade:rate->1|upgrade:value->3|upgrade:value->4
410,48.72,8642.26,2,0,upgrade:value->5|upgrade:growth->1
420,54.25,9149.24,2,0,upgrade:speed->4|upgrade:value->6
430,63.21,9743.07,2,0,upgrade:speed->5|upgrade:growth->2|upgrade:robots->7|upgrade:growth->3
440,78.09,10434.37,2,0,upgrade:value->7|garden:flower->1
450,85.17,11234.22,2,0,
460,85.17,12085.88,2,0,upgrade:value->8|garden:flower->2|garden:flower->3|garden:flower->4
470,94.87,13016.05,2,0,garden:rock->1|garden:rock->2
480,95.29,13967.89,2,0,
490,95.29,14920.78,2,0,
500,95.29,15873.66,2,0,
510,95.29,16826.54,2,0,grass:clover
520,112.49,17934.25,2,0,upgrade:value->9
530,119.86,19110.75,2,0,upgrade:value->10
540,127.23,20316.73,2,0,upgrade:growth->4|upgrade:rate->2|upgrade:growth->5|upgrade:robots->8
550,148.69,21689.81,2,0,upgrade:growth->6
560,159.42,23241.09,2,0,upgrade:growth->7|upgrade:rate->3
570,170.15,24920.75,2,0,upgrade:growth->8
580,180.88,26708.10,2,0,upgrade:value->11|garden:flower->5
590,192.84,28549.82,2,0,garden:flower->6
600,194.33,30490.14,7,0,prestige-2
610,2.77,30517.85,7,0,upgrade:robots->2|upgrade:robots->3
620,8.31,30581.59,7,0,upgrade:robots->4
630,11.09,30684.14,7,0,
640,11.09,30795.00,7,0,tool:Hedge Shears
650,22.17,30950.20,7,0,upgrade:robots->5|upgrade:speed->1|upgrade:robots->6|upgrade:speed->2|upgrade:value->1
660,45.07,31297.92,7,0,upgrade:speed->3|upgrade:robots->7|upgrade:value->2|upgrade:value->3
670,70.01,31874.14,7,0,upgrade:value->4|upgrade:value->5
680,83.05,32652.50,7,0,upgrade:value->6|upgrade:speed->4|upgrade:growth->1|upgrade:speed->5
690,101.58,33598.13,7,0,upgrade:value->7|garden:flower->1|upgrade:growth->2|upgrade:rate->1|upgrade:growth->3
700,129.25,34747.56,7,0,upgrade:rate->2|upgrade:growth->4|upgrade:value->8
710,155.63,36179.79,7,0,garden:flower->2|garden:flower->3|garden:flower->4|garden:rock->1|garden:rock->2
720,161.86,37780.68,7,0,
730,161.86,39399.30,7,0,grass:clover
740,191.28,41047.33,7,0,upgrade:value->9
750,203.38,43008.52,7,0,upgrade:value->10|garden:flower->5
760,217.58,45109.16,7,0,
770,217.58,47284.99,7,0,upgrade:value->11|garden:flower->6|garden:flower->7
780,234.23,49611.79,7,0,
790,234.23,51954.07,7,0,upgrade:value->12|garden:flower->8|garden:rock->3|garden:rock->4
800,249.85,54424.96,7,0,garden:tree->1|upgrade:robots->8|upgrade:growth->5|upgrade:growth->6|upgrade:rate->3
810,288.90,57138.19,7,0,upgrade:growth->7|upgrade:growth->8|upgrade:robots->9
820,326.39,60239.39,7,0,upgrade:growth->9|garden:tree->2|garden:rock->5
830,347.27,63602.25,7,0,garden:flower->9|garden:tree->3|garden:rock->6
840,351.77,67102.71,7,0,garden:flower->10|garden:tree->4|garden:rock->7
850,356.27,70645.99,7,0,garden:flower->11|garden:rock->8
860,359.22,74223.41,7,0,
870,359.22,77815.60,7,0,
880,359.22,81407.80,7,0,
890,359.22,84999.99,7,0,
900,359.22,88592.18,7,0,grass:thick
910,423.89,92249.05,7,0,
920,423.89,96487.94,7,0,upgrade:value->13|prestige-3
930,4.24,100455.55,17,0,upgrade:robots->2
940,8.48,100519.18,17,0,upgrade:robots->3|upgrade:robots->4
950,16.97,100671.90,17,0,tool:Hedge Shears
960,33.94,100858.55,17,0,upgrade:robots->5|upgrade:speed->1|upgrade:robots->6|upgrade:speed->2|upgrade:value->1|upgrade:speed->3
970,74.18,101390.40,17,0,upgrade:robots->7|upgrade:value->2|upgrade:speed->4|upgrade:value->3|upgrade:value->4
980,121.52,102438.23,17,0,upgrade:value->5|upgrade:value->6|upgrade:growth->1|upgrade:rate->1|upgrade:growth->2|upgrade:speed->5
990,175.26,103966.43,17,0,upgrade:value->7|garden:flower->1|garden:flower->2|upgrade:value->8|garden:flower->3
1000,208.04,105896.09,17,0,garden:flower->4|upgrade:growth->3|upgrade:rate->2|upgrade:growth->4|upgrade:robots->8|upgrade:growth->5|garden:rock->1
1010,269.34,108305.56,17,0,garden:rock->2
1020,269.90,111004.51,17,0,grass:clover|upgrade:value->9
1030,338.75,114107.29,17,0,upgrade:value->10|garden:flower->5
1040,361.38,117669.69,17,0,upgrade:value->11|garden:flower->6
1050,384.35,121486.96,17,0,upgrade:value->12|garden:flower->7|upgrade:growth->6|upgrade:rate->3|upgrade:growth->7
1060,456.25,125644.97,17,0,upgrade:robots->9|upgrade:growth->8|upgrade:growth->9|upgrade:rate->4
1070,522.76,130543.55,17,0,upgrade:growth->10|garden:tree->1|garden:rock->3|garden:tree->2|garden:rock->4
1080,558.16,135933.07,17,0,garden:flower->8|garden:rock->5|garden:flower->9|garden:tree->3|garden:flower->10
1090,571.80,141590.06,17,0,garden:rock->6|garden:tree->4|upgrade:robots->10
1100,575.15,147336.16,17,0,upgrade:growth->11|garden:rock->7|garden:flower->11
1110,608.55,153335.62,17,0,garden:rock->8
1120,609.54,159430.99,17,0,
1130,609.54,165526.37,17,0,grass:thick
1140,720.41,171732.62,17,0,upgrade:value->13
1150,755.49,179041.97,17,0,upgrade:growth->12
1160,791.88,186742.47,17,0,upgrade:value->14
1170,828.66,194808.38,17,0,upgrade:value->15
1180,865.43,203131.72,17,0,
